year,district,total_visitors
2011,Bau,15747
2011,Beluru,16005
2011,Bintulu,12314
2011,Lundu,27575
2011,Marudi,22326
2011,Subis,25393
2012,Bau,19017
2012,Beluru,18533
2012,Bintulu,13139
2012,Lundu,26449
2012,Marudi,15708
2012,Subis,25163
2013,Bau,27611
2013,Beluru,15335
2013,Bintulu,11061
2013,Lundu,18100
2013,Marudi,19157
2013,Subis,26406
2014,Bau,53068
2014,Beluru,18382
2014,Bintulu,13375
2014,Lundu,21500
2014,Marudi,20184
2014,Subis,25513
2015,Bau,52899
2015,Beluru,17402
2015,Bintulu,14403
2015,Lundu,19280
2015,Marudi,18623
2015,Subis,27055
2016,Bau,58263
2016,Beluru,18604
2016,Bintulu,14422
2016,Lundu,19950
2016,Marudi,22388
2016,Subis,30236
2017,Bau,57138
2017,Beluru,15872
2017,Bintulu,14414
2017,Lundu,20764
2017,Marudi,23730
2017,Subis,28206
2018,Bau,47740
2018,Beluru,12591
2018,Bintulu,11475
2018,Lundu,20730
2018,Marudi,21665
2018,Subis,26436
2019,Bau,15842
2019,Beluru,13667
2019,Bintulu,13877
2019,Lundu,14636
2019,Marudi,21022
2019,Subis,24507
2020,Bau,2326
2020,Beluru,3715
2020,Bintulu,1843
2020,Lundu,3370
2020,Marudi,4123
2020,Subis,7610
2021,Bau,49
2021,Beluru,7616
2021,Bintulu,9
2021,Lundu,3882
2021,Marudi,2341
2021,Subis,5222
